"This store now answers on a different address than the one being monitored. Until the monitor is repointed, checks keep hitting the old address and the certificate on the new one is never read.","Ten sklep odpowiada teraz pod innym adresem niż monitorowany. Dopóki monitor nie zostanie przepięty, sprawdzenia trafiają na stary adres, a certyfikat nowego nie jest w ogóle odczytywany."
"Monitor the current address","Monitoruj bieżący adres"
"Response time, median","Czas odpowiedzi, mediana"
"%1 to fix","Do naprawy: %1"
"Worth fixing","Warto naprawić"
"Ordered by what can break the store first.","Kolejność według tego, co najszybciej zepsuje sklep."
"Availability over the last 24 hours","Dostępność z ostatnich 24 godzin"
"One block per bucket, oldest on the left.","Jeden blok na przedział, najstarszy po lewej."
"PingView already knows these addresses because this module runs inside your store. This only checks that a page responds, it does not attempt to place an order.","PingView zna te adresy, bo ten moduł działa wewnątrz Twojego sklepu. Sprawdzamy tylko, czy strona odpowiada, nie próbujemy złożyć zamówienia."
"Scheduled jobs (Magento cron)","Zadania cykliczne (cron Magento)"
"The cron schedule could not be read, so nothing can be said about scheduled jobs here.","Nie udało się odczytać harmonogramu cron, więc nie możemy nic powiedzieć o zadaniach cyklicznych."
"Magento cron ran recently. %1 jobs are queued.","Cron Magento działał niedawno. Zadań w kolejce: %1."
"No cron job has run for over an hour. Indexers, order emails and scheduled prices stop while the storefront keeps answering normally.","Żadne zadanie cron nie wykonało się od ponad godziny. Indeksery, maile o zamówieniach i ceny zaplanowane stają, a sklep dalej odpowiada normalnie."
"Last run: %1","Ostatnie wykonanie: %1"
"No cron job has ever run on this installation.","Na tej instalacji nie wykonało się jeszcze żadne zadanie cron."
"Add this line to the same crontab that already runs Magento cron:","Dodaj tę linię do tego samego crontaba, który już uruchamia cron Magento:"
"PingView can watch this from outside: a heartbeat monitor that expects a ping every few minutes, so a cron that silently stops is caught even while the store keeps answering normally.","PingView może to obserwować z zewnątrz: monitor heartbeat oczekuje pingu co kilka minut, więc cicho zatrzymany cron zostanie wykryty, nawet gdy sklep dalej odpowiada normalnie."
"Watch Magento cron from outside","Obserwuj cron Magento z zewnątrz"
"Slack, Teams and Discord","Slack, Teams i Discord"
"Webhooks","Webhooki"
"Mozilla Observatory grade","Ocena Mozilla Observatory"
"Checks passed","Zaliczone sprawdzenia"
"Fixing these gives back %1 points, highest first.","Naprawa tych pozycji zwraca %1 punktów, od największych."
"No security scan yet. Every monitor is scanned for security headers, on any plan.","Brak skanu bezpieczeństwa. Nagłówki bezpieczeństwa skanujemy dla każdego monitora, niezależnie od planu."
"Measured on %1.","Pomiar na: %1."
"Lighthouse performance and accessibility scores with Core Web Vitals, on a paid plan.","Wyniki wydajności i dostępności Lighthouse wraz z Core Web Vitals, w planie płatnym."
"Synthetic monitoring walks a real path through your store: product page, add to cart, checkout. It catches the failure an uptime check cannot see, a checkout broken while the homepage still answers fine.","Monitoring syntetyczny przechodzi realną ścieżkę przez sklep: karta produktu, dodanie do koszyka, zamówienie. Wykrywa awarię, której nie widzi sprawdzenie dostępności: zepsuty checkout przy działającej stronie głównej."
"This module reports your cart, checkout and product addresses so the journey can be built from what your store actually serves.","Ten moduł przekazuje adresy koszyka, zamówienia i produktu, żeby ścieżkę zbudować z tego, co Twój sklep faktycznie serwuje."
"%1 min","%1 min"
"%1 h","%1 godz."
"A public status page gives customers one place to check for known incidents, and a badge to embed on your storefront.","Publiczna strona statusu daje klientom jedno miejsce do sprawdzenia znanych awarii oraz plakietkę do osadzenia w sklepie."
"Not reported by the API yet","Jeszcze nie zwrócone przez API"
"PingView for Magento","PingView dla Magento"
"Monitoring runs on PingView servers, outside your store: no module code runs on customer requests, and disabling this module does not stop monitoring.","Monitoring działa na serwerach PingView, poza Twoim sklepem: żaden kod modułu nie wykonuje się przy żądaniach klientów, a wyłączenie modułu nie zatrzymuje monitoringu."
"No page could be added. Your plan may already be at its monitor limit.","Nie udało się dodać żadnej strony. Twój plan mógł już osiągnąć limit monitorów."
"The monitor now checks the current store address.","Monitor sprawdza teraz bieżący adres sklepu."
"External observation is on. Add the cron line below to the crontab that already runs Magento cron.","Obserwacja zewnętrzna włączona. Dodaj poniższą linię do crontaba, który już uruchamia cron Magento."
"External observation is off. The heartbeat monitor is paused, not deleted.","Obserwacja zewnętrzna wyłączona. Monitor heartbeat jest wstrzymany, nie usunięty."
"Watching Magento cron from outside needs a higher PingView plan.","Obserwacja crona Magento z zewnątrz wymaga wyższego planu PingView."
"Monitor still on the old address","Monitor nadal na starym adresie"
"probe retired","sonda wycofana"
"no result yet","brak jeszcze wyniku"
"answering, but slow","odpowiada, ale wolno"
"timed out","przekroczony czas"
"Median of %1 locations","Mediana z %1 lokalizacji"
"Median of %1 locations · slow above %2 ms","Mediana z %1 lokalizacji · wolno powyżej %2 ms"
"A check counts as slow above %1 ms.","Sprawdzenie liczy się jako wolne powyżej %1 ms."
"Change this threshold","Zmień ten próg"
"One configured location has left the monitoring fleet and is not counted.","Jedna skonfigurowana lokalizacja opuściła flotę monitorującą i nie jest wliczana."
"Some configured locations have left the monitoring fleet and are not counted.","Część skonfigurowanych lokalizacji opuściła flotę monitorującą i nie jest wliczana."
"Response time over the last 24 hours, between %1 and %2 ms","Czas odpowiedzi w ciągu ostatnich 24 godzin, od %1 do %2 ms"
"Response time %1–%2 ms, averaged across locations. Dashed line: slow above %3 ms.","Czas odpowiedzi %1–%2 ms, uśredniony po lokalizacjach. Linia przerywana: wolno powyżej %3 ms."
"Response time %1–%2 ms, averaged across locations.","Czas odpowiedzi %1–%2 ms, uśredniony po lokalizacjach."
"PingView also watches 1 more address on this site:","PingView obserwuje na tej stronie jeszcze 1 adres:"
"PingView also watches %1 more addresses on this site:","PingView obserwuje na tej stronie jeszcze %1 adresów:"
